"","x","y","z","group","label","date"
"247",7.98828132614585,8.54794605349307,27168600000,"Equity","Vanguard Dividend Appreciation Index Fund;ETF","2017/08"
"248",8.06503675801192,12.5095310981621,23000046500,"Equity","Vanguard S&P 500 UCITS ETF USD","2017/08"
"249",5.24786548072352,-2.47724993011933,16203200000,"Bond","iShares US Preferred Stock ETF","2017/08"
"250",9.62069686333015,11.0755710676947,18314900000,"Equity","Vanguard Mid-Cap Index Fund;ETF","2017/08"
"251",10.8501058377408,24.0155025857055,19810700000,"Equity","Technology Select Sector SPDR Fund","2017/08"
"252",9.4689861678868,8.92159917777575,13051700000,"Equity","Consumer Discretionary Select Sector SPDR Fund","2017/08"
"253",12.5914555848011,-2.97253317211268,36770400000,"Commodity","SPDR Gold Shares","2017/08"
"254",10.9262028003189,6.82838629586,15278400000,"Equity","Health Care Select Sector SPDR Fund","2017/08"
"255",1.50001190307455,-0.297050211962702,21010800000,"Bond","Vanguard Short-Term Corporate Bond Idx Fd;ETF","2017/08"
"256",15.288480294536,17.0493928838863,12111411289.6,"Equity","MUKAM MAXIS Nikkei 225 ETF","2017/08"
"257",11.1950927157719,10.5395134954402,19723400000,"Equity","SPDR S&P MidCap 400 ETF","2017/08"
